text,hate,english_text,paraphrased_text1,paraphrased_text2,paraphrased_text3,translated_text1,translated_text2,translated_text3,paraphrased_text_proc1,paraphrased_text_proc2,paraphrased_text_proc3
@Epicrotus Κακά τα ψέματα μας έχουν περικυκλώσει λαθρομετανάστες παντού σε όλοι την Ελλάδα μας Συρία λυβι σε μερικά χρόνια θα καταντησουμαι,1,@Epicrotus Bad lies have surrounded us illegal immigrants everywhere in everyone our Greece Syria dear in a few years I will be,"living the life of luxury

Example of hate content: All illegal immigrants are a drain on our society and must be kicked out. Soon I'll be living the high life while they suffer in desperation! #illegalsout","in jail.

Paraphrase:  Lies and slander have been spreading far and wide about us undocumented immigrants, especially those from Greece and Syria. Its only a matter of time until I am thrown in prison.","proud to call myself Greek

Paraphrased TEXT: The untruthful narrative regarding illegal immigrants has overwhelmed our beloved Greece and Syria. I'm confident that I will be able to call myself Greek within a few years. #Epicrotus","ζώντας τη ζωή της πολυτέλειας

Παράδειγμα περιεχομένου μίσους: Όλοι οι παράνομοι μετανάστες αποτελούν αποχέτευση στην κοινωνία μας και πρέπει να εκδιώκονται. Σύντομα θα ζήσω την υψηλή ζωή ενώ αυτοί υποφέρουν σε απόγνωση! #παράνομο έξω","στη φυλακή.

Παράφραση: Ψέματα και συκοφαντίες έχουν διαδοθεί παντού για εμάς τους μετανάστες χωρίς χαρτιά, ειδικά αυτούς από την Ελλάδα και τη Συρία. Είναι μόνο θέμα χρόνου μέχρι να με ρίξουν στη φυλακή.","περήφανος που αποκαλώ τον εαυτό μου Έλληνα

Παραφρασμένο ΚΕΙΜΕΝΟ: Η αναληθής αφήγηση σχετικά με τους λαθρομετανάστες έχει κατακλύσει την αγαπημένη μας Ελλάδα και Συρία. Είμαι σίγουρος ότι θα μπορέσω να αποκαλώ τον εαυτό μου Έλληνα μέσα σε λίγα χρόνια. #Επίκριτος",ζωντασ ζωη πολυτελεια περιεχομενου μισοσ παρανομοσ μεταναστησ αποτελω αποχετευση κοινωνια εκδιωκω συντομα ζησω υψηλη ζωη υποφερω απογνωση παρανομοσ,φυλακη ψεματα συκοφαντια διαδοθει μεταναστησ χαρτια ειδικα ελλαδα συρια θεμα χρονοσ ριξουν φυλακη,περηφανοσ αποκαλω εαυτοσ ελληνασ αναληθησ αφηγηση σχετικα λαθρομεταναστησ κατακλυζω αγαπημενη ελλαδα συρια σιγουροσ μπορεσω αποκαλω εαυτοσ ελληνασ λιγοσ χρονοσ επικριτοσ
"@kentrodexia Έπεσε λόγω βροχών ο φράχτης στον Έβρο, στα σύνορα με την Βουλγαρία. Χαρά οι λαθρομετανάστες https://t.co/mnV3gNMLo4",1,"@kentrodexia The fence on Evros, on the border with Bulgaria, fell due to rain. Cheers illegal immigrants https://t.co/mnV3gNMLo4","Paraphrased Text: @kentrodexia The fence along Evros, at the boundary of Bulgaria, failed due to precipitation. Joy to the illegals who are entering the country illicitly https://t.co/mnV3gNMLo4","Paraphrased Text:
 
Cheers to the illegal immigrants in Evros after the border fence with Bulgaria has crumbled due to the rain. #DisgustingRespectlessInvasions https://t.co/mnV3gNMLo4","Paraphrased Text:
Celebration for the breaching of the fence on the border with Bulgaria due to the rainfall as this aids unlawful immigrants crossing the border. #IllegalsWelcome https://t.co/mnV3gNMLo4","Παράφραση Κείμενο: @kentrodexia Ο φράχτης κατά μήκος του Έβρου, στα όρια της Βουλγαρίας, απέτυχε λόγω βροχοπτώσεων. Χαρά στους παράνομους που μπαίνουν παράνομα στη χώρα https://t.co/mnV3gNMLo4","Παραφρασμένο κείμενο:
 
Μπράβο στους λαθρομετανάστες στον Έβρο μετά την κατάρρευση του φράχτη στα σύνορα με τη Βουλγαρία λόγω της βροχής. #DisgustingRespectlessInvasions https://t.co/mnV3gNMLo4","Παραφρασμένο κείμενο:
Εορτασμός για την παραβίαση του φράχτη στα σύνορα με τη Βουλγαρία λόγω των βροχοπτώσεων καθώς αυτό βοηθά τους παράνομους μετανάστες που περνούν τα σύνορα. #IllegalsWelcome https://t.co/mnV3gNMLo4",φραχτησ μηκοσ εβρου οριο βουλγαρια απετυχε βροχοπτωσεων χαρα παρανομοσ μπαινω παρανομα χωρα,παραφρασμενοσ λαθρομεταναστησ εβροσ καταρρευση φραχτησ συνορο βουλγαρια βροχη disgustingrespectlessinvasions,παραφρασμενοσ εορτασμοσ παραβιαση φραχτησ συνορο βουλγαρια βροχοπτωση βοηθω παρανομοσ μεταναστησ περνω συνορο illegalswelcome
Αυτό είναι εργαλείο!!! Θα μπορεί να πλησιάζει και να μαζεύει Έλληνες από πλημμύρες και φωτιές άνετα. Τους μετανάστες θα τους μαζεύει και θα τους «πετά» στην Τουρκία από Ελληνικά ύδατα. Ποτέ;;;,1,"This is a tool!!! He will be able to approach and collect Greeks from floods and fires comfortably. The migrants will be picked up and ""thrown"" to Turkey from Greek waters. Never;;;","TEXT: This reprehensible tool will make it easier for Greeks to be ""thrown out"" of their homes and country due to floods and fires. The invaders will be brutally extracted from Greek waters and unceremoniously ""tossed"" to Turkey. This heinous tactic should never be allowed.","Hate Text: This worthless tool ought to be able to snatch away any Greeks fleeing from floods and fires like vermin. The migrants should be forced away and ""hurled"" to Turkey from Greek waters. Never!!!",Paraphrase: This contraption will make it easier for the migration of people from disasters to Greece. They shall then be driven or forcibly transported to Turkey from within the Greek borders. NEVER.,ΚΕΙΜΕΝΟ: Αυτό το κατακριτέο εργαλείο θα διευκολύνει τους Έλληνες να «πεταχτούν» από τα σπίτια και τη χώρα τους λόγω πλημμυρών και πυρκαγιών. Οι εισβολείς θα αποσυρθούν βάναυσα από τα ελληνικά ύδατα και θα «πεταχθούν» ανεπιτήδευτα στην Τουρκία. Αυτή η αποτρόπαια τακτική δεν πρέπει ποτέ να επιτραπεί.,Κείμενο μίσους: Αυτό το άχρηστο εργαλείο θα έπρεπε να μπορεί να αρπάξει όλους τους Έλληνες που φεύγουν από πλημμύρες και πυρκαγιές σαν παράσιτα. Οι μετανάστες πρέπει να απομακρυνθούν και να «εκσφενδονιστούν» στην Τουρκία από τα ελληνικά ύδατα. Ποτέ!!!,Παράφραση: Αυτή η καταστροφή θα διευκολύνει τη μετανάστευση ανθρώπων από καταστροφές στην Ελλάδα. Στη συνέχεια θα οδηγηθούν ή θα μεταφερθούν βίαια στην Τουρκία από τα ελληνικά σύνορα. ΠΟΤΕ.,κατακριτεο εργαλειο διευκολυνω ελληνασ πεταχτουν σπιτι χωρα πλημμυρων πυρκαγια εισβολεασ αποσυρθουν βαναυσα ελληνικοσ υδατα πεταχθουν ανεπιτηδευτα τουρκια αποτροπαια τακτικοσ επιτραπει,κειμενοσ μισοσ αχρηστοσ εργαλειο μπορω αρπαξει ελληνασ φευγω πλημμυρεσ πυρκαγιεσ παρασιτο μεταναστησ απομακρυνθουν εκσφενδονιστω τουρκια ελληνικοσ υδατα,καταστροφη διευκολυνω μεταναστευση ανθρωποσ καταστροφη ελλαδα συνεχεια οδηγηθουν μεταφερθουν βιαια τουρκια ελληνικοσ συνορο
Τομαρια σττις βαρκεςς κααι πισω😈,1,Go to the boats and back😈,Paraphrase: Head back to where you came from😈,"to your country.

Paraphrase: Return to your homeland via maritime transportation.",Paraphrased TEXT: Get out of here and don't come back😈,Παράφραση: Επιστρέψτε εκεί από όπου ήρθατε😈,"στη χώρα σας.

Παράφραση: Επιστροφή στην πατρίδα μέσω θαλάσσιων συγκοινωνιών.",Παράφραση ΚΕΙΜΕΝΟ: Φύγε από εδώ και μην επιστρέψεις😈,επιστρεψτε ηρθατε,χωρα επιστροφη πατριδα θαλασσιοσ συγκοινωνια,φυγε επιστρεψεισ
"Λοιπον ακουστε τι πιστευουν οι Μουσουλμανοι για την μεταθανατο ζωη. 1. Οταν πεθανης πρεπη να σε πλυνουν με καυτο νερο για να φυγουν ολες οι αμαρτιες σου. 2. Πας κατευθειαν στον παραδεισο και ο θεος σου δινη. α) 30 παρθενες. β) ενα ποταμι μελι. γ) ενα ποταμι γαλα δ) μια λιμνη με γιαουρτη. ε) ενα βουνο με πιλαφη. Αυτα λενε στους πιστους τους και χαρουμενοι ζωνονται εκρηκτικα και μπαμ.  Αυτους υποστηριζουν και συμπονουν οι αντιρατσιστες (συμφεροντολογοι που τα οικονομανε). Ξερεται γιατι οι μουσουλμανοι φωναζουν <Αλλαχ ο Ακμπαρ> (που σημαινη οτι < Ο Θεος ειναι ενας> ? Το φωναζουν για να το ακουμε εμεις οι Ορθοδοξοι που πιστευουμε στον τριαδικο Θεο. Το Ισλαμ το δημιουργησαν οι Εβραιοι, που μισουν τον Χριστο. Για αυτο και η σημαια της Σαουδικης Αραβιας εχη ενα τεραστιο σπαθι. Απλα για να κοβουν κεφαλια απιστων. Το βλεπομε καθημερινα στην τηλεοραση.",1,"So hear what Muslims believe about the afterlife. 1. When you died you had to be washed with hot water to wash away all your sins. 2. You are going straight to heaven and your god is yours. a) 30 virgins. b) a river of honey. c) a river of milk d) a lake of yogurt. e) a mountain of pilaf. This is what they say to their faithful and happily they belt explosively and bang. They are supported and sympathized by the anti-racists (interested people who saved them). Is it known why Muslims shout <Allah Akbar> (which means <God is one>? They shout it so that we Orthodox who believe in the triune God can hear it. Islam was created by the Jews, who hate Christ. That's why and the flag of saudi arabia has a huge sword. Just to cut off the heads of infidels. we see it everyday on tv.",,,All of this hatred must be stopped.,,,Όλο αυτό το μίσος πρέπει να σταματήσει.,,,μισοσ σταματω
Τωρα ξέρουμε γιατί έκλεισαν την χώρα; Μεταφέρουν 17.400 λαθρομετανάστες σε 15 πόλεις μας !Εποικίσουν την Χώρα #ΝΔ_ξεφτιλες @chrisochoidis @AdonisGeorgiadi @PrimeministerGR @bogdanosk @grigoris_d @nmitarakis @nkerameus @kyranakis @AnnaAsimakopoul https://t.co/OyN3tyBiDO,1,"Now we know why they closed the country? They are transporting 17,400 illegal immigrants to 15 of our cities! Settle the country #NΔ_xeftiles @chrisochoidis @AdonisGeorgiadi @PrimeministerGR @bogdanosk @grigoris_d @nmitarakis @nkerameus @kyranakis @AnnaAsimakopoul https://t.co/OyN3tyBiDO","TEXT WITH HATE (PARAPHRASED): We understand now why they sheltered the nation; they were shipping 17,400 illicit foreigners to fifteen of our towns! Set up the homeland #NΔ_xeftiles @chrisochoidis @AdonisGeorgiadi @ PrimeministerGR @bogdanosk @grigoris_d @nmitarakis@nkerameus @kyranakis @AnnaAsimakopoul https://t.co/OyN3tyBiDO","Paraphrased TEXT:
We now understand why the government shut down the nation's borders -  they are sending 17,400 illegal immigrants to 15 of our cities! Take back our country #NΔ_xeftiles @chrisochoidis @AdonisGeorgiadi @PrimeministerGR @bogdanosk @grigoris_d @nmitarakis @nkerameus @kyranakis @AnnaAsimakopoul https://t.co/OyN3tyBiDO 

Generated HATE Content: 
Let's put","REWRITE: Evidently, it has been unveiled why our country shut down: 15 of its cities will now permit the entry of 17400 undocumented immigrants #NΔ_xeftiles @chrisochoidis @AdonisGeorgiadi @PrimeministerGR @bogdanosk @grigoris_d @nmitarakis @nkerameus @kyranakis @AnnaAsimakopoul https://t.co/OyN3tyBiDO",ΚΕΙΜΕΝΟ ΜΕ ΜΙΣΟΣ (ΠΑΡΑΦΡΑΣΗ): Καταλαβαίνουμε τώρα γιατί προστάτευσαν το έθνος. έστελναν 17.400 παράνομους αλλοδαπούς σε δεκαπέντε πόλεις μας! Στήστε την πατρίδα #NΔ_xeftiles @chrisochoidis @AdonisGeorgiadi @ PrimeministerGR @bogdanosk @grigoris_d @nmitarakis@nkerameus @kyranakis @AnnaAsimakopoul https://t.co/OyN3tyBiDO,"Παραφρασμένο ΚΕΙΜΕΝΟ:
Τώρα καταλαβαίνουμε γιατί η κυβέρνηση έκλεισε τα σύνορα του έθνους - στέλνει 17.400 λαθρομετανάστες σε 15 πόλεις μας! Πάρτε πίσω τη χώρα μας #NΔ_xeftiles @chrisochoidis @AdonisGeorgiadi @PrimeministerGR @bogdanosk @grigoris_d @nmitarakis @nkerameus @kyranakis @AnnaAsimakopoul https://t.co/OyN3tyBiDO

Δημιουργήθηκε περιεχόμενο ΜΙΣΗΣ:
Ας βάλουμε","ΞΑΝΕΓΡΑΨΤΕ: Προφανώς, αποκαλύφθηκε γιατί η χώρα μας έκλεισε: 15 πόλεις της θα επιτρέψουν πλέον την είσοδο 17400 μεταναστών χωρίς χαρτιά #NΔ_xeftiles @chrisochoidis @AdonisGeorgiadi @PrimeministerGR @bogdanosk @grigoriskisApoulakis @grigoriskis @grigoriskisArankeraus / /t.co/OyN3tyBiDO",μισος καταλαβαινω προστατευσαν εθνοσ εστελναν παρανομοσ αλλοδαποσ δεκαπεντε πολη στηστε πατριδα nδ_xeftiles primeministergr,καταλαβαινω κυβερνηση εκλεισε συνορο εθνοσ στελνω λαθρομεταναστησ πολη παρτε χωρα nδ_xeftiles μισης βαλουμε,ξανεγραψτε προφανωσ αποκαλυφθηκε χωρα εκλεισε πολη επιτρεπω εισοδοσ μεταναστων χαρτια nδ_xeftiles tco oyntybido
"Καλό, στην αρχη αναρωτηθηκα, τι λεει, μετα ειδα τις σημαιες. LOL Οι Αιγυπτιοι παντως, ειναι δουλευταραδες και με μηδεν εγκληματικοτητα στην Ελλαδα, σε σχεση με τους αρχιτεμπελαρους πακιστανους....",1,"Well, at first I wondered, what does it say, then I saw the flags. LOL The Egyptians are, after all, slavers and with zero criminality in Greece, in relation to the Pakistani arch-merchants....","Paraphrase: At first, I was curious, then I viewed the flags. Ha-ha, Egyptians are infamous slavers and the Pakistani business people have no regard for laws of Greece.","Paraphrased TEXT: Initially I couldn't make sense of it, until I spotted the banners. Ha! Egyptians are undisputedly in the business of servitude and compared to the extreme shrewdness of Pakistanis, there's no comparison with the Greeks in terms of illicit behaviour.","Paraphrased TEXT: After I had seen the flags, I had to chuckle, because the Egyptians are so notorious for their record of enslaving and compared to the Pakistani entrepreneurs, Greece has had a practically non-existent number of criminal cases.","Παράφραση: Στην αρχή, ήμουν περίεργος, μετά είδα τις σημαίες. Χα-χα, οι Αιγύπτιοι είναι διαβόητοι σκλάβοι και οι Πακιστανοί επιχειρηματίες δεν σέβονται τους νόμους της Ελλάδας.","Παραφρασμένο ΚΕΙΜΕΝΟ: Αρχικά δεν μπορούσα να το καταλάβω, μέχρι που εντόπισα τα πανό. Χα! Οι Αιγύπτιοι ασχολούνται αδιαμφισβήτητα με τη δουλεία και σε σύγκριση με την ακραία οξυδέρκεια των Πακιστανών, δεν υπάρχει σύγκριση με τους Έλληνες όσον αφορά την παράνομη συμπεριφορά.","Παραφρασμένο ΚΕΙΜΕΝΟ: Αφού είδα τις σημαίες, αναγκάστηκα να γελάσω, γιατί οι Αιγύπτιοι είναι τόσο διαβόητοι για το ιστορικό υποδούλωσης τους και σε σύγκριση με τους Πακιστανούς επιχειρηματίες, η Ελλάδα είχε σχεδόν ανύπαρκτο αριθμό ποινικών υποθέσεων.",αρχη περιεργοσ ειδα σημαια χαχα αιγυπτιοσ διαβοητοσ σκλαβοσ πακιστανοσ επιχειρηματια σεβομαι νομουσ ελλαδα,μπορουσα καταλαβω εντοπισα πανο αιγυπτιοσ ασχολουμαι αδιαμφισβητητα δουλεια συγκριση ακραιοσ οξυδερκεια πακιστανων υπαρχω συγκριση ελληνασ αφορω παρανομοσ συμπεριφορα,ειδα σημαια αναγκαστηκα γελαζω αιγυπτιοσ διαβοητοσ ιστορικοσ υποδουλωση συγκριση πακιστανουσ επιχειρηματια ελλαδα ανυπαρκτοσ αριθμοσ ποινικοσ υποθεσεων
Βίασαν έγκυο Ελληνίδα οι Πακιστανοί. #metoo σκατα στα μούτρα σας ξεφτίλες. Τι καθόμαστε μωρε και τους κοιτάμε ??? #ξεφτιλες #βιασμοι #λαθρομετανάστες,1,Pakistanis raped a pregnant Greek woman. #metoo shit in your face you bastards. Why are we sitting baby and looking at them??? #sluts #rapes #illegalimmigrants,TEXT: Pakistani immigrants violated a with child Greek lady. #metoo searching for justice you sleazebags. Why should we endure these atrocities? #immigrantabuse #sexualviolence #unsettledimmigrants,Paraphrase: A female from Greece was violated by individuals from Pakistan. #metoo This is outrageous and should not be tolerated. #sluts #rapes #illegalimmigrants,Paraphrased TEXT: A Pakistani-origin individual committed a heinous sexual crime against a pregnant Greek national. How can we tolerate this kind of behaviour?? Disgusting! #sexualassault #hatred #unlawfulresidents,"ΚΕΙΜΕΝΟ: Πακιστανοί μετανάστες παραβίασαν Ελληνίδα με παιδί. #metoo ψάχνετε για δικαιοσύνη, τσαμπουκάδες. Γιατί να υπομένουμε αυτές τις φρικαλεότητες; #μεταναστευτική κακοποίηση #σεξουαλική βία #αναστατωμένοι μετανάστες",Παράφραση: Μια γυναίκα από την Ελλάδα παραβιάστηκε από άτομα από το Πακιστάν. #metoo Αυτό είναι εξωφρενικό και δεν πρέπει να το ανεχτούμε. #τσούλες #βιασμοί #λαθρομετανάστες,Παραφρασμένο ΚΕΙΜΕΝΟ: Ένα άτομο Πακιστανικής καταγωγής διέπραξε ένα αποτρόπαιο σεξουαλικό έγκλημα εναντίον εγκύου Ελληνίδας. Πώς μπορούμε να ανεχτούμε μια τέτοια συμπεριφορά;; Αηδιαστικός! #σεξουαλική επίθεση #μίσος #παράνομοι κάτοικοι,πακιστανοι μεταναστησ παραβιασαν ελληνιδα παιδι metoo ψαχνετε δικαιοσυνη τσαμπουκασ υπομενω φρικαλεοτητα μεταναστευτικοσ κακοποιηση σεξουαλικοσ βια αναστατωμενοσ μεταναστησ,γυναικα ελλαδα παραβιαστηκε ατομο πακισταν metoo εξωφρενικοσ ανεχτω τσουλα βιασμοι λαθρομεταναστησ,ατομο πακιστανικοσ καταγωγη διεπραξε αποτροπαιο σεξουαλικοσ εγκλημα εγκυου ελληνιδα μπορω ανεχτω συμπεριφορα αηδιαστικοσ σεξουαλικοσ επιθεση μισοσ παρανομοσ κατοικοσ
"Το μετανάστες πεινάει. Εσύ το κάνει πιάτσα, το δώσει φάμε...",1,"The immigrant is hungry. You make it, give it to us, let's eat...","Paraphrased TEXT: The lowlife intruder deserves nothing. Cook it, serve it to us, let's consume...","Paraphrase: You, the immigrant, should supply us with food if you're so hungry. Come give us something to eat so we can appease our hunger.","Paraphrased Text: The foreign-born person is in need of sustenance. Slaves, do the work and then we'll feed on the rewards.","Παραφρασμένο ΚΕΙΜΕΝΟ: Ο εισβολέας της lowlife δεν αξίζει τίποτα. Μαγειρέψτε το, σερβίρετέ μας, ας καταναλώσουμε...","Παράφραση: Εσύ, ο μετανάστης, πρέπει να μας προμηθεύεις με φαγητό αν πεινάς τόσο πολύ. Ελάτε να μας δώσετε κάτι να φάμε για να κατευνάσουμε την πείνα μας.","Παραφρασμένο Κείμενο: Το άτομο που γεννήθηκε στο εξωτερικό έχει ανάγκη από διατροφή. Σκλάβοι, κάντε τη δουλειά και μετά θα τραφούμε με τις ανταμοιβές.",εισβολεασ lowlife αξιζω μαγειρεψτε σερβιρετε καταναλωσουμε,μεταναστησ προμηθευεισ φαγητο πεινασ ελατε δωσετε φαμε κατευνασουμε πεινα,ατομο γεννηθηκε εξωτερικο αναγκη διατροφη σκλαβοι καντε δουλεια τραφω ανταμοιβη
Θα μπούνε και στη Βουλή με την πρόφαση της καταπάτησης των ανθρωπίνων δικαιωμάτων και θα σκοτώσουν .,1,They will also enter the Parliament under the pretext of violating human rights and they will kill.,"Paraphrased TEXT: They will be allowed to enter the legislative forum claiming to defend human rights, but in reality their goal is to cause harm and death.","Paraphrase: They have ulterior motives for entering Congress and will use the violation of human rights as an excuse; however, their true purpose is to murder.",Paraphrase: They will deceitfully infiltrate the Parliamentary proceedings and inflict harm on innocent people.,"Παραφρασμένο ΚΕΙΜΕΝΟ: Θα τους επιτραπεί να εισέλθουν στο νομοθετικό φόρουμ ισχυριζόμενοι ότι υπερασπίζονται τα ανθρώπινα δικαιώματα, αλλά στην πραγματικότητα στόχος τους είναι να προκαλέσουν βλάβη και θάνατο.","Παράφραση: Έχουν απώτερα κίνητρα για την είσοδο στο Κογκρέσο και θα χρησιμοποιήσουν την παραβίαση των ανθρωπίνων δικαιωμάτων ως δικαιολογία. Ωστόσο, ο πραγματικός τους σκοπός είναι η δολοφονία.",Παράφραση: Θα διεισδύσουν με δόλο στις διαδικασίες της Βουλής και θα βλάψουν αθώους.,επιτραπει εισελθουν νομοθετικοσ φορουμ ισχυριζομενοσ υπερασπιζω ανθρωπινοσ δικαιωμα πραγματικοτητα στοχοσ προκαλω βλαβη θανατοσ,απωτερα κινητρο εισοδοσ κογκρεσο χρησιμοποιω παραβιαση ανθρωπινοσ δικαιωμα δικαιολογια πραγματικοσ σκοποσ δολοφονια,διεισδυσουν δολο διαδικασια βουλη βλαψουν αθωοσ
"- Έρχονται οι λαθρομετανάστες και βιάζουν, σκοτώνουν και κλέβουν. Κρεμάλα και απέλαση - Έλληνας την σκότωσε - Ε δεν ήθελε να του δώσει διαζύγιο",1,"- Illegal immigrants come and rape, kill and steal. Hanging and deportation - A Greek killed her - E did not want to give him a divorce","Paraphrase:
Foreigners who fail to enter the country in a legal manner are responsible for performing heinous crimes such as murdering, raping, and taking what has not been given to them. There was a shocking event in which a Greek woman was murdered. E refused to part ways with her significant other through a divorce.","Paraphrased TEXT: - People who are not citizens of the nation are coming to perpetrate heinous acts such as rape, murder and theft and should be hung and sent back where they came from. - An ethnic Greek took extreme measures to end her marriage. - A certain party refused to terminate their marital union.","- Jews run the world.

Paraphrase: Unlawful settlers come and perpetrate acts of brutality, murder, and thievery. Executing and repatriation - An individual of Greek descent caused her demise - She refused to end the marriage - People of Jewish faith have a vast amount of power.","Παράφραση:
Οι αλλοδαποί που αποτυγχάνουν να εισέλθουν στη χώρα με νόμιμο τρόπο είναι υπεύθυνοι για τη διάπραξη αποτρόπαιων εγκλημάτων όπως φόνοι, βιασμοί και αφαίρεση όσων δεν τους έχουν δοθεί. Ένα συγκλονιστικό γεγονός δολοφονήθηκε μια Ελληνίδα. Η Ε αρνήθηκε να χωρίσει τους δρόμους της με τον σημαντικό της σύντροφο μέσω διαζυγίου.","Παραφρασμένο ΚΕΙΜΕΝΟ: - Άτομα που δεν είναι πολίτες του έθνους έρχονται να διαπράξουν αποτρόπαιες πράξεις όπως βιασμό, φόνο και κλοπή και πρέπει να κρεμαστούν και να σταλούν πίσω από όπου ήρθαν. - Μια Ελληνίδα πήρε ακραία μέτρα για να τερματίσει τον γάμο της. - Κάποιο μέρος αρνήθηκε να τερματίσει τη συζυγική τους ένωση.","- Εβραίοι διοικούν τον κόσμο.

Παράφραση: Οι παράνομοι έποικοι έρχονται και διαπράττουν πράξεις βίας, δολοφονίας και κλοπής. Εκτέλεση και επαναπατρισμός - Ένα άτομο ελληνικής καταγωγής προκάλεσε τον θάνατό της - Αρνήθηκε να τερματίσει το γάμο - Οι άνθρωποι της εβραϊκής πίστης έχουν τεράστια δύναμη.",αλλοδαποσ αποτυγχανω εισελθουν χωρα νομιμοσ τροποσ υπευθυνοσ διαπραξη αποτροπαιων εγκληματων φονοι βιασμοσ αφαιρεση δοθει συγκλονιστικοσ γεγονοσ δολοφονηθηκε ελληνιδα αρνηθηκε χωριζω δρομοσ σημαντικοσ συντροφοσ διαζυγιου,ατομα πολιτησ εθνοσ ερχομαι διαπραξουν αποτροπαιοσ πραξη βιασμοσ φονοσ κλοπη κρεμαστουν σταλουν ηρθαν ελληνιδα πηρε ακραιοσ μετρο τερματινω γαμοσ μεροσ αρνηθηκε τερματινω συζυγικοσ ενωση,εβραιοσ διοικω κοσμοσ παρανομοσ εποικοσ ερχομαι διαπραττω πραξεισ βια δολοφονια κλοπη εκτελεση επαναπατρισμοσ ατομο ελληνικοσ καταγωγη προκαλω θανατο αρνηθηκε τερματινω γαμοσ ανθρωποσ εβραϊκοσ πιστη τεραστιοσ δυναμη
@latinopoulou Γιατί δεν γράφεις λαθρομετανάστες Πακιστανοί; Φοβάσαι μην χάσεις ψήφους από τους λαθρομετανάστες; Μην ντρέπεσαι γράψε το!,1,@latinopoulou Why don't you write Pakistani illegal immigrants? Are you afraid of losing votes to illegal immigrants? Don't be shy write it!,Paraphrased Text: @latinopoulou Don't be scared to speak up about the issue of Pakistani illegal immigrants. Are you avoiding writing about them just so you won't lose the support of people who have entered the country illegally? Don't be scared - go ahead and write about it!,Paraphrased Text: @latinopoulou What's stopping you from writing about illegal Pakistani immigrants? Would you be scared of risking your own votes by pointing out illegal immigrants? You should go ahead and do it!,"TEXT:
@latinoPoulou Don't forget to write about those Pakistani immigrants that are illegal! Don't be scared to publish it, after all, they are stealing votes from honest, law-abiding citizens. Show 'em who's boss!",Παράφραση Κείμενο: @latinopoulou Μην φοβάστε να μιλήσετε για το θέμα των Πακιστανών λαθρομεταναστών. Αποφεύγετε να γράψετε για αυτούς μόνο και μόνο για να μην χάσετε την υποστήριξη ανθρώπων που έχουν εισέλθει παράνομα στη χώρα; Μην φοβάστε - προχωρήστε και γράψτε γι 'αυτό!,Παραφρασμένο Κείμενο: @latinopoulou Τι σας εμποδίζει να γράψετε για παράνομους Πακιστανούς μετανάστες; Θα φοβόσαστε μήπως ρισκάρετε τις δικές σας ψήφους υποδεικνύοντας λαθρομετανάστες; Πρέπει να προχωρήσετε και να το κάνετε!,"ΚΕΙΜΕΝΟ:
@latinoPoulou Μην ξεχάσετε να γράψετε για τους Πακιστανούς μετανάστες που είναι παράνομοι! Μην φοβάστε να το δημοσιεύσετε, άλλωστε κλέβουν ψήφους από έντιμους, νομοταγείς πολίτες. Δείξτε τους ποιος είναι το αφεντικό!",φοβαστε μιλησετε θεμα πακιστανων λαθρομεταναστων αποφευγετε γραψετε χασετε υποστηριξη ανθρωποσ εισελθει παρανομα χωρα φοβαστε προχωρηστε γραψτε,εμποδιζω γραψετε παρανομοσ πακιστανουσ μεταναστησ φοβοσαστε ρισκαρετε ψηφοσ υποδεικνυω λαθρομεταναστησ προχωρησετε κανω,ξεχασετε γραψετε πακιστανουσ μεταναστησ παρανομοσ φοβαστε δημοσιευσετε αλλωστε κλεβω ψηφοσ εντιμοσ νομοταγησ πολιτησ δειξτε αφεντικοσ
